Clase,Lugar,Cantidad_Viajes
restaurant,La Frágula,8
restaurant,Yakumanka,8
restaurant,Trattoria La Tanna,8
restaurant,Las Polas,8
restaurant,Galia Gourmet,8
restaurant,Taquería Selene,8
restaurant,El Quijote del Valle,8
restaurant,Mikado,8
restaurant,NA DE FO,8
restaurant,La Piedra Cantina Artesanal,8
restaurant,Tencüi,8
restaurant,Harimandar,8
restaurant,El Rincon Argentino,8
restaurant,Bahía Capital,8
restaurant,Ryoshi,8
restaurant,Casa González Exquisita Pancita,8
restaurant,Nul Bom,8
hotel,Hotel Plaza Delta,8
restaurant,Taller Xilotl,8
hotel,La Mansion,8
restaurant,Todo Empanadas,8
hotel,Hotel Astor,8
restaurant,Tony Roma's,8
restaurant,Lucille,8
restaurant,Madonna's Pizza,8
restaurant,Fonda,8
restaurant,El comal de mis amores,8
restaurant,1944,8
restaurant,Pane En Vía Centro,8
restaurant,Montejo Sureste,8
restaurant,Río Deva,8
hotel,Hotel Econo Express,8
restaurant,Lardo,8
restaurant,Cervecería Polanquito,8
hotel,Hotel Tlalpan,8
restaurant,Mariana Bonita,8
restaurant,Bocadillos Royalty,8
hotel,Hotel Polo,8
restaurant,Sonora Grill - Félix Cuevas,8
restaurant,Sabores y Tradiciones de la Abuela,8
restaurant,Harimgak,8
restaurant,La Verita,8
restaurant,Tacos Alvaro Obregon,8
restaurant,Sushi ito,8
restaurant,Chicama,8
restaurant,Taquitos Frontera,8
restaurant,Los Chamorros de Tlacoquemecatl,8
restaurant,Playa Sabino,8
restaurant,La Azotea,8
restaurant,Tortas,8
hotel,Hotel Palace,8
restaurant,Terré,8
restaurant,Tripolandia,8
restaurant,Sanborn's,8
restaurant,Gong Cha,8
hotel,Hotel Mexicali,8
restaurant,La Vid Argentina,8
restaurant,Boston's Grill,8
restaurant,La Buena Barra,8
restaurant,El Hostal de los Quesos,8
restaurant,El Morral,8
restaurant,Galanga Thai House,8
restaurant,Baja,8
restaurant,fonda la terraza "rive",8
restaurant,Taqueria Punto y Coma,8
restaurant,Rosanegra Latin American Cuisine,8
restaurant,Las Yayas,8
restaurant,Tacos Árabes "La Periquita",8
hotel,Hotel Azores,8
restaurant,Husman Bistro,8
hotel,Hotel Ambos Mundo,8
hotel,Hotel María Condesa,8
hotel,Hotel Rosinante,8
restaurant,Satoshi Sushi Bar,8
restaurant,Fishers,8
restaurant,Pizzería Balboa,8
restaurant,Pizza Company,7
hotel,F Hotel,7
restaurant,Jin San Shabu Shabu,7
restaurant,Mesón Pineda,7
restaurant,La Catrina,7
restaurant,Los Jochos Wine&Burger,7
restaurant,Garabatos Insurgentes,7
restaurant,Taquelia,7
restaurant,Pollo Feliz,7
restaurant,Maison de Famille,7
restaurant,Butcher and Sons,7
restaurant,V Zona Rosa,7
restaurant,El Mexicano,7
restaurant,Perros & Burros,7
restaurant,La Terazza,7
restaurant,Aura- Comida Vegana,7
restaurant,Las Sanadoras calderia,7
restaurant,Yug Vegetariano,7
restaurant,Fonda Semilla de Mostaza,7
restaurant,La Tapatia,7
restaurant,Paris 16 Bistró,7
restaurant,Buffalo Wild Wings,7
restaurant,Restaurante Franter,7
restaurant,Órale Arepa,7
restaurant,La Sazón de Tlalpan,7
restaurant,El Rey De Los Mariscos,7
restaurant,Tiró,7
restaurant,Forever Vegano,7
restaurant,Anónimo Restaurante,7
restaurant,Maíz de Cacao,7
restaurant,Bianco Colima,7
hotel,Sheraton María Isabel,7
restaurant,El Tigre Silencioso,7
restaurant,Texas de Brasil,7
restaurant,Raiz,7
restaurant,Italian Taco,7
restaurant,El Chivito de San Cosme,7
restaurant,Taco fish,7
restaurant,El Zorzal,7
restaurant,Rosetta,7
restaurant,Meroma,7
restaurant,Tlacoyos Milenarios,7
restaurant,El Mayor,7
restaurant,Italinnis Universidad,7
restaurant,Mariscos Juan,7
restaurant,The Cheesecake Factory,7
restaurant,Sonora Taco Steak,7
restaurant,China Inn,7
restaurant,La Pinguina Mariscos,7
restaurant,Gastronómica Restimex,7
restaurant,La Strega,7
hotel,Mansión Havre,7
restaurant,1900,7
restaurant,Soul Condesa,7
restaurant,Bros,7
restaurant,Villa Coral,7
restaurant,Gin Gin,7
restaurant,Bistrot Mosacio,7
restaurant,Fonda San Angel,7
restaurant,La Milanezzeria,7
restaurant,El Ferry Loco,7
restaurant,Maria La Pescadora,7
restaurant,Catorze,7
restaurant,La Corriente,7
restaurant,Páprika,7
hotel,Hotel del Ángel,7
restaurant,Loncheria Lupita,7
restaurant,El Hidalguense,7
restaurant,Parrilla Danesa Grill & Bar,7
restaurant,Pizza Futura,7
restaurant,Umai,7
restaurant,Casa de mi Tita,7
restaurant,Tacos La Aguilita,7
restaurant,Que sería de mí,7
restaurant,La Terminal,7
restaurant,La Esquina de Abolengo,7
restaurant,Mariscos La Puri,7
restaurant,El Breve Espacio,7
restaurant,Tu Ceviche,7
restaurant,Benedetis Pizza,7
hotel,Hotel San Diego,7
restaurant,El Taquito Carrillo,7
restaurant,Burrito Loco,7
restaurant,Antojitos Yucatecos Los Arcos,7
restaurant,Chilpa,7
restaurant,Nanaya,7
restaurant,Lyris,7
restaurant,Birria El Güero,7
restaurant,La Cocina de San Juan,7
restaurant,Sesame,7
restaurant,Tacos El Caminero,7
restaurant,Toks Zentralia Churubusco,6
restaurant,D' Tin Marin,6
restaurant,da Fonda,6
restaurant,Al Diwan,6
restaurant,Restaurante Nonna,6
restaurant,Carmelo,6
restaurant,MOG,6
restaurant,Salón Covadonga,6
restaurant,Helena,6
hotel,Hotel Vermont,6
restaurant,Chili´s,6
restaurant,Incantatum,6
restaurant,Taquería Frank's,6
restaurant,TierrAdentro,6
restaurant,Prego,6
restaurant,Las Tinajas,6
restaurant,Munch,6
