Nombre_Carretera,Cantidad_Viajes
Calle Lorenzo Rodríguez,7
Calle Sinanché,7
Privada Cuauhtémoc,7
Calle Quintana Roo,7
Calle Ébano,7
Avenida Manuel Lebrija,7
Calle Rosa Blanca,7
Calle 13 de Septiembre,7
Calle Bahía de San Hipólito,7
Calle Gobernador Luis Gonzaga Vieyra,7
Calle Canteritas,7
Calle Aniceto Ortega,7
Calle 27,7
Calle Felipe Carrillo Puerto,7
Calle Candelaria Pérez,7
Calle Olivar,7
Tenochtitlán,7
Arcos de Aragón,7
Calle Vicente Suárez,7
Calle Fresnos,7
Calle Cultura Norte,7
Calle Pilares,7
Avenida Colonia del Valle,7
Andador 5,7
Calle Ciencias,7
Avenida Progreso,7
Calle Revillagigedo,7
Calle Marcos Carillo,7
Calle Ajusco,7
Calle Cerro de la Libertad,7
Avenida 1,7
Calle Loma,7
Calle Olivo,7
Calle Popocatépetl,7
Calle Lago Güija,7
Calle 19,7
Calle Prado Sur,7
Villa de Canes,7
Calle Picacho Ajusco,7
Calle Zamora,7
Calle Vid,7
Calle 21,7
Calle Narciso Mendonza,7
Calle del Rosal,7
Calle Roberto Medellín,7
Calle Frontera,7
Calle Fueguinos,7
Calle Ferrocarriles Nacionales,7
Circuito Naranjos,7
Calle Oaxaca,7
Calle República de Brasil,7
Andador 2,7
Calle 3 Alcanfores,7
Calle Norte 10,7
Calle Jilguero,7
Calle Manuel Ávila Camacho,7
Calle Dakota,7
Calle Ciprés,7
Calle San Felipe de Jesús,7
Carretera Federal México-Cuernavaca,7
Calle Flox,7
Calle Albino García,7
Autopista de Peaje México-Cuernavaca,7
Zarzaparrillas,7
Avenida Lomas de Plateros,7
Calle Ángeles,7
Calle 25,7
Calle Buenavista,7
Calle Juan Aldama,7
Retorno 6 de Mariquita Sánchez,7
Avenida Talismán,7
Avenida 604,7
Calle Mariquita Sánchez,7
Calle Poniente 118,7
Calle Ciclistas,7
Callejón Benito Juárez,7
Calle Guadalupe Victoria,7
Calle Josefa Ortiz de Domínguez,7
Calle La Presa,7
Avenida Año de Juárez,7
Cerrada Elefante,7
Calle Chabacano,7
Calle Virgilio Uribe,7
Sur 122,7
Calle Mercaderes,7
Andandor C,7
Calzada Desierto de los Leones,7
Avenida Lazaro Cardenas,7
Calle Geranio,7
Calle Aristóteles,7
Calle Oriente 169,7
Calle Alejandro Dumas,7
Calzada San Simón,7
Calle Jaime Torres Bodet,7
Calle Río Mixcoac,7
Calle Álamo,6
Carretera México - Pachuca (Libre),6
Calle Santa Cruz,6
Calle Querétaro,6
Calle Jesús García,6
Calle Paloma Doméstica,6
Calle Empresa,6
Aeropuerto Civil,6
Calle Omega,6
Calle Salónica,6
Calle Torres Quintero,6
Calle 12 de Diciembre,6
Calle Santa Mónica,6
Calle Sierra Madre Oriental,6
Retorno 207,6
Vizcaínas,6
Calle General Juan Cano,6
Avenida México-Contreras,6
Calle Norte 83,6
Calle 18,6
Calle Héroes de Padierna,6
Ramón López Velarde,6
Avenida Bordo de Xochiaca,6
Calle Guadalupe Hidalgo,6
Avenida Río de Los Remedios,6
Calle Clavelinas,6
Calle Jazmines,6
Avenida Unión,6
Calle Santo Tomás,6
Mexibús L3,6
Autopista Naucalpan - Ecatepec,6
Calle Carlos B. Zetina,6
Calle Aguascalientes,6
Calle Imprenta,6
Calle Nogales,6
Calle Aconchi,6
Calle Cisne,6
Calle Heriberto Frías,6
Calle Comonfort,6
Calle Nueva York,6
Calle Belisario Domínguez,6
Avenida Circunvalación Sur,6
Calle Canario,6
Calle Plutarco Elías Calles,6
Calle Gladiola,6
Calle Quetzal,6
Calle Ignacio Manuel Altamirano,6
Calle Justo Sierra,6
Calle 14,6
Continuación Nueces,6
Calle Anatole France,6
Calle Córdoba,6
Andador 18,6
Calle Mérida,6
Cerrada Continuación Oyametla,6
Autopista de Peaje Cuernavaca-México,6
Plaza de la Constitución,6
Privada 1ª Benito Juárez,6
Calle Villa Gatón,6
Calle Limantitla,6
Calle Salvador Sánchez Colín,6
Calle Manuel M. Ponce,6
Calle Vasco de Quiroga,6
Calle Santa María,6
Cerrada Higuera,6
Calle San Antonio,6
Circuito de la Investigación Científica,6
Calle Doctor C. Liceaga,6
Segunda Cerrada de Prolongación Lázaro Cárdenas,6
Calle Miguel Ángel Buonarroti,6
Calle Tekit,6
Cerrada Huayatla,6
Andador 9 Aztecas,6
Avenida Torres de Ixtapantongo,6
Calle Xochicalco,6
Calle Serapio Rendón,6
Avenida 4,6
Calle Chimalpopoca,6
Avenida de las Palomas,6
Calle Sinaloa,6
Calle Pozos,6
Calle Bajada Tepalcapa,6
Avenida Cerro del Agua,6
Avenida De los Trabajadores,6
Calle Reforma,6
Cerro de Zacayuca,6
Calle Octavio Senties,6
Calle Cóndor,6
Calle La Perita,6
Calle Adolfo Ruiz Cortines,6
Autopista de Peaje México-Toluca,6
Calle 32,6
Calle Amado Nervo,6
Calle Puente de Cuadritos,6
Calle Ometusco,6
Calle Herreros,6
Calle Doctor Roberto Gayol,6
Calle 412,6
Calzada de los Leones,6
Prolongación Calle 10,6
Calle Poussin,6
Calle Margaritas,6
Calle Poniente 112,6
Avenida José Vasconcelos,6
Cerrada Margaritas,6
Calle Oriente 167,6
Calle Burdeos,6
Calle Rosa María Sequeira,6
Acueducto San Gregorio Atlapulco,6
Calle Doctor Olvera,6
Calle Heliotropo,6
Calle Norte 89-B,6
Calle Monte Alegre,6
Avenida de las Granjas,6
Calzada Azcapotzalco-La Villa,6
Calle Jade,6
Antiguo Camino a Xochimilco,6
Avenida Niños Héroes de Chapultepec,6
Calle Francisco Fernández del Castillo,6
Calle Amberes,6
Calle Candelaria,6
Avenida México-Poniente,6
Avenida Homero,6
Calle Febo,6
Avenida Villa Cacama,6
Calle Mar Arábigo,6
Calle 28,6
Calle Mexicali,6
Calle Paloma Torcaz,6
Calle Matamoros,6
Avenida Chimalhuacán,6
Avenida Ferrocarriles Nacionales de México,6
Calle Cansahcab,6
Generalismo Morelos,6
Calle Loma Bonita,6
Calle Nuevo México,6
Calle Doctor Barragán,6
Calle Unión,6
Callejón Cuauhtémoc,6
Calle Alfredo Del Mazo,6
Calle Eucalipto,6
Calle Estado de Coahuila,6
Calle Guadalupe I. Ramírez,6
Calle Carlos Chávez,6
Cerrada Pirul,6
Calle Norte 64,6
