Punto_Interes,Cantidad_Viajes
Fonda Semilla de Mostaza,2
Atléticos,2
Consultorio Terapias Armonia Salud Integral,2
Angus,2
Andrea,2
Miscelanea Los Vecinos,2
Hotel Escandón,2
One,2
Finca Don Porfirio,2
Azul Histórico,2
Degú,2
Izcoatl,2
Centro macrobiotico,2
Metales Romero,2
Hotel San Diego,2
Unidad de Medicina Familiar 22 Independecia,2
Fitness Station,2
B,2
Dentsta Hernandez,2
Izcóatl,2
Clínica 4 IMSS - Ginecología y Obstetricia,2
Smart Fit,2
emporio,2
Universidad Tres Culturas,2
Fixie Bike,2
Banca Afirme,2
Café El Jarocho,2
Izziban,2
Clínica Mexicana de Autismo y Alteraciones del Desarrollo,2
Statue - Le Cadeu,2
Escuela De Manejo Soluciones,2
USA Shoes,2
Facrmacias Union,2
Baños,2
CE-507 Mar Mediterráneo - Azcapotzalco,2
Janine,2
Deportes y mochilas charly,2
Sappo,2
Estética New Line,2
Rosetta,2
Farmacia,2
Barber Shop Diamonds,2
Centro Veterinario Norte,2
Jardin Chapultepec,2
Coppel San Ángel,2
Sbarro,2
El Taquito,2
Tlaquepaque Taquería,2
Fernanda,2
Abarrotes "Las Américas",2
Cinépolis,2
KURA,2
Crisanta Cervecería Garage,2
SEP Internado No. 17 Francisco I. Madero,2
Abarrotes Super 5,2
Taquería Guerrerito,2
